id_teryt;kod_teryt;wojewodztwo;powiat;gmina;nazwa;typ_kod;typ
02;02;02;;;DOLNOŚLĄSKIE;;województwo
0201;0201;02;01;;bolesławiecki;;powiat
0201011;020101_1;02;01;01;Bolesławiec;1;gmina miejska
0201022;020102_2;02;01;02;Bolesławiec;2;gmina wiejska
0201032;020103_2;02;01;03;Gromadka;2;gmina wiejska
0201043;020104_3;02;01;04;Nowogrodziec;3;gmina miejsko-wiejska
0201044;020104_4;02;01;04;Nowogrodziec;4;miasto
0201045;020104_5;02;01;04;Nowogrodziec;5;obszar wiejski
0201052;020105_2;02;01;05;Osiecznica;2;gmina wiejska
0201062;020106_2;02;01;06;Warta Bolesławiecka;2;gmina wiejska
0202;0202;02;02;;dzierżoniowski;;powiat
0202011;020201_1;02;02;01;Bielawa;1;gmina miejska
0202021;020202_1;02;02;02;Dzierżoniów;1;gmina miejska
0202033;020203_3;02;02;03;Pieszyce;3;gmina miejsko-wiejska
0202034;020203_4;02;02;03;Pieszyce;4;miasto
0202035;020203_5;02;02;03;Pieszyce;5;obszar wiejski
0202041;020204_1;02;02;04;Piława Górna;1;gmina miejska
0202052;020205_2;02;02;05;Dzierżoniów;2;gmina wiejska
0202062;020206_2;02;02;06;Łagiewniki;2;gmina wiejska
0202073;020207_3;02;02;07;Niemcza;3;gmina miejsko-wiejska
0202074;020207_4;02;02;07;Niemcza;4;miasto
0202075;020207_5;02;02;07;Niemcza;5;obszar wiejski
0203;0203;02;03;;głogowski;;powiat
0203011;020301_1;02;03;01;Głogów;1;gmina miejska
0203022;020302_2;02;03;02;Głogów;2;gmina wiejska
0203032;020303_2;02;03;03;Jerzmanowa;2;gmina wiejska
0203042;020304_2;02;03;04;Kotla;2;gmina wiejska
0203052;020305_2;02;03;05;Pęcław;2;gmina wiejska
0203062;020306_2;02;03;06;Żukowice;2;gmina wiejska
0204;0204;02;04;;górowski;;powiat
0204013;020401_3;02;04;01;Góra;3;gmina miejsko-wiejska
0204014;020401_4;02;04;01;Góra;4;miasto
0204015;020401_5;02;04;01;Góra;5;obszar wiejski
0204022;020402_2;02;04;02;Jemielno;2;gmina wiejska
0204032;020403_2;02;04;03;Niechlów;2;gmina wiejska
0204043;020404_3;02;04;04;Wąsosz;3;gmina miejsko-wiejska
0204044;020404_4;02;04;04;Wąsosz;4;miasto
0204045;020404_5;02;04;04;Wąsosz;5;obszar wiejski
0205;0205;02;05;;jaworski;;powiat
0205011;020501_1;02;05;01;Jawor;1;gmina miejska
0205023;020502_3;02;05;02;Bolków;3;gmina miejsko-wiejska
0205024;020502_4;02;05;02;Bolków;4;miasto
0205025;020502_5;02;05;02;Bolków;5;obszar wiejski
0205032;020503_2;02;05;03;Męcinka;2;gmina wiejska
0205042;020504_2;02;05;04;Mściwojów;2;gmina wiejska
0205052;020505_2;02;05;05;Paszowice;2;gmina wiejska
0205062;020506_2;02;05;06;Wądroże Wielkie;2;gmina wiejska
0206;0206;02;06;;karkonoski;;powiat
0206011;020601_1;02;06;01;Karpacz;1;gmina miejska
0206021;020602_1;02;06;02;Kowary;1;gmina miejska
0206031;020603_1;02;06;03;Piechowice;1;gmina miejska
0206041;020604_1;02;06;04;Szklarska Poręba;1;gmina miejska
0206052;020605_2;02;06;05;Janowice Wielkie;2;gmina wiejska
0206062;020606_2;02;06;06;Jeżów Sudecki;2;gmina wiejska
0206072;020607_2;02;06;07;Mysłakowice;2;gmina wiejska
0206082;020608_2;02;06;08;Podgórzyn;2;gmina wiejska
0206092;020609_2;02;06;09;Stara Kamienica;2;gmina wiejska
0207;0207;02;07;;kamiennogórski;;powiat
0207011;020701_1;02;07;01;Kamienna Góra;1;gmina miejska
0207022;020702_2;02;07;02;Kamienna Góra;2;gmina wiejska
0207033;020703_3;02;07;03;Lubawka;3;gmina miejsko-wiejska
0207034;020703_4;02;07;03;Lubawka;4;miasto
0207035;020703_5;02;07;03;Lubawka;5;obszar wiejski
0207042;020704_2;02;07;04;Marciszów;2;gmina wiejska
0208;0208;02;08;;kłodzki;;powiat
0208011;020801_1;02;08;01;Duszniki-Zdrój;1;gmina miejska
0208021;020802_1;02;08;02;Kłodzko;1;gmina miejska
0208031;020803_1;02;08;03;Kudowa-Zdrój;1;gmina miejska
0208041;020804_1;02;08;04;Nowa Ruda;1;gmina miejska
0208051;020805_1;02;08;05;Polanica-Zdrój;1;gmina miejska
0208063;020806_3;02;08;06;Bystrzyca Kłodzka;3;gmina miejsko-wiejska
0208064;020806_4;02;08;06;Bystrzyca Kłodzka;4;miasto
0208065;020806_5;02;08;06;Bystrzyca Kłodzka;5;obszar wiejski
0208072;020807_2;02;08;07;Kłodzko;2;gmina wiejska
0208083;020808_3;02;08;08;Lądek-Zdrój;3;gmina miejsko-wiejska
0208084;020808_4;02;08;08;Lądek-Zdrój;4;miasto
0208085;020808_5;02;08;08;Lądek-Zdrój;5;obszar wiejski
0208092;020809_2;02;08;09;Lewin Kłodzki;2;gmina wiejska
0208103;020810_3;02;08;10;Międzylesie;3;gmina miejsko-wiejska
0208104;020810_4;02;08;10;Międzylesie;4;miasto
0208105;020810_5;02;08;10;Międzylesie;5;obszar wiejski
0208112;020811_2;02;08;11;Nowa Ruda;2;gmina wiejska
0208123;020812_3;02;08;12;Radków;3;gmina miejsko-wiejska
0208124;020812_4;02;08;12;Radków;4;miasto
0208125;020812_5;02;08;12;Radków;5;obszar wiejski
0208133;020813_3;02;08;13;Stronie Śląskie;3;gmina miejsko-wiejska
0208134;020813_4;02;08;13;Stronie Śląskie;4;miasto
0208135;020813_5;02;08;13;Stronie Śląskie;5;obszar wiejski
0208143;020814_3;02;08;14;Szczytna;3;gmina miejsko-wiejska
0208144;020814_4;02;08;14;Szczytna;4;miasto
0208145;020814_5;02;08;14;Szczytna;5;obszar wiejski
0209;0209;02;09;;legnicki;;powiat
0209011;020901_1;02;09;01;Chojnów;1;gmina miejska
0209022;020902_2;02;09;02;Chojnów;2;gmina wiejska
0209032;020903_2;02;09;03;Krotoszyce;2;gmina wiejska
0209042;020904_2;02;09;04;Kunice;2;gmina wiejska
0209052;020905_2;02;09;05;Legnickie Pole;2;gmina wiejska
0209062;020906_2;02;09;06;Miłkowice;2;gmina wiejska
0209073;020907_3;02;09;07;Prochowice;3;gmina miejsko-wiejska
0209074;020907_4;02;09;07;Prochowice;4;miasto
0209075;020907_5;02;09;07;Prochowice;5;obszar wiejski
0209082;020908_2;02;09;08;Ruja;2;gmina wiejska
0210;0210;02;10;;lubański;;powiat
0210011;021001_1;02;10;01;Lubań;1;gmina miejska
0210021;021002_1;02;10;02;Świeradów-Zdrój;1;gmina miejska
0210033;021003_3;02;10;03;Leśna;3;gmina miejsko-wiejska
0210034;021003_4;02;10;03;Leśna;4;miasto
0210035;021003_5;02;10;03;Leśna;5;obszar wiejski
0210042;021004_2;02;10;04;Lubań;2;gmina wiejska
0210053;021005_3;02;10;05;Olszyna;3;gmina miejsko-wiejska
0210054;021005_4;02;10;05;Olszyna;4;miasto
0210055;021005_5;02;10;05;Olszyna;5;obszar wiejski
0210062;021006_2;02;10;06;Platerówka;2;gmina wiejska
0210072;021007_2;02;10;07;Siekierczyn;2;gmina wiejska
0211;0211;02;11;;lubiński;;powiat
0211011;021101_1;02;11;01;Lubin;1;gmina miejska
0211022;021102_2;02;11;02;Lubin;2;gmina wiejska
0211032;021103_2;02;11;03;Rudna;2;gmina wiejska
0211043;021104_3;02;11;04;Ścinawa;3;gmina miejsko-wiejska
0211044;021104_4;02;11;04;Ścinawa;4;miasto
0211045;021104_5;02;11;04;Ścinawa;5;obszar wiejski
0212;0212;02;12;;lwówecki;;powiat
0212013;021201_3;02;12;01;Gryfów Śląski;3;gmina miejsko-wiejska
0212014;021201_4;02;12;01;Gryfów Śląski;4;miasto
0212015;021201_5;02;12;01;Gryfów Śląski;5;obszar wiejski
0212023;021202_3;02;12;02;Lubomierz;3;gmina miejsko-wiejska
0212024;021202_4;02;12;02;Lubomierz;4;miasto
0212025;021202_5;02;12;02;Lubomierz;5;obszar wiejski
0212033;021203_3;02;12;03;Lwówek Śląski;3;gmina miejsko-wiejska
0212034;021203_4;02;12;03;Lwówek Śląski;4;miasto
0212035;021203_5;02;12;03;Lwówek Śląski;5;obszar wiejski
0212043;021204_3;02;12;04;Mirsk;3;gmina miejsko-wiejska
0212044;021204_4;02;12;04;Mirsk;4;miasto
0212045;021204_5;02;12;04;Mirsk;5;obszar wiejski
0212053;021205_3;02;12;05;Wleń;3;gmina miejsko-wiejska
0212054;021205_4;02;12;05;Wleń;4;miasto
0212055;021205_5;02;12;05;Wleń;5;obszar wiejski
0213;0213;02;13;;milicki;;powiat
0213012;021301_2;02;13;01;Cieszków;2;gmina wiejska
0213022;021302_2;02;13;02;Krośnice;2;gmina wiejska
0213033;021303_3;02;13;03;Milicz;3;gmina miejsko-wiejska
0213034;021303_4;02;13;03;Milicz;4;miasto
0213035;021303_5;02;13;03;Milicz;5;obszar wiejski
0214;0214;02;14;;oleśnicki;;powiat
0214011;021401_1;02;14;01;Oleśnica;1;gmina miejska
0214023;021402_3;02;14;02;Bierutów;3;gmina miejsko-wiejska
0214024;021402_4;02;14;02;Bierutów;4;miasto
0214025;021402_5;02;14;02;Bierutów;5;obszar wiejski
0214032;021403_2;02;14;03;Dobroszyce;2;gmina wiejska
0214042;021404_2;02;14;04;Dziadowa Kłoda;2;gmina wiejska
0214053;021405_3;02;14;05;Międzybórz;3;gmina miejsko-wiejska
0214054;021405_4;02;14;05;Międzybórz;4;miasto
0214055;021405_5;02;14;05;Międzybórz;5;obszar wiejski
0214062;021406_2;02;14;06;Oleśnica;2;gmina wiejska
0214073;021407_3;02;14;07;Syców;3;gmina miejsko-wiejska
0214074;021407_4;02;14;07;Syców;4;miasto
0214075;021407_5;02;14;07;Syców;5;obszar wiejski
0214083;021408_3;02;14;08;Twardogóra;3;gmina miejsko-wiejska
0214084;021408_4;02;14;08;Twardogóra;4;miasto
0214085;021408_5;02;14;08;Twardogóra;5;obszar wiejski
0215;0215;02;15;;oławski;;powiat
0215011;021501_1;02;15;01;Oława;1;gmina miejska
0215022;021502_2;02;15;02;Domaniów;2;gmina wiejska
0215033;021503_3;02;15;03;Jelcz-Laskowice;3;gmina miejsko-wiejska
0215034;021503_4;02;15;03;Jelcz-Laskowice;4;miasto
0215035;021503_5;02;15;03;Jelcz-Laskowice;5;obszar wiejski
0215042;021504_2;02;15;04;Oława;2;gmina wiejska
0216;0216;02;16;;polkowicki;;powiat
0216013;021601_3;02;16;01;Chocianów;3;gmina miejsko-wiejska
0216014;021601_4;02;16;01;Chocianów;4;miasto
0216015;021601_5;02;16;01;Chocianów;5;obszar wiejski
0216022;021602_2;02;16;02;Gaworzyce;2;gmina wiejska
0216032;021603_2;02;16;03;Grębocice;2;gmina wiejska
0216043;021604_3;02;16;04;Polkowice;3;gmina miejsko-wiejska
0216044;021604_4;02;16;04;Polkowice;4;miasto
0216045;021604_5;02;16;04;Polkowice;5;obszar wiejski
0216053;021605_3;02;16;05;Przemków;3;gmina miejsko-wiejska
0216054;021605_4;02;16;05;Przemków;4;miasto
0216055;021605_5;02;16;05;Przemków;5;obszar wiejski
0216062;021606_2;02;16;06;Radwanice;2;gmina wiejska
0217;0217;02;17;;strzeliński;;powiat
0217012;021701_2;02;17;01;Borów;2;gmina wiejska
0217022;021702_2;02;17;02;Kondratowice;2;gmina wiejska
0217032;021703_2;02;17;03;Przeworno;2;gmina wiejska
0217043;021704_3;02;17;04;Strzelin;3;gmina miejsko-wiejska
0217044;021704_4;02;17;04;Strzelin;4;miasto
0217045;021704_5;02;17;04;Strzelin;5;obszar wiejski
0217053;021705_3;02;17;05;Wiązów;3;gmina miejsko-wiejska
0217054;021705_4;02;17;05;Wiązów;4;miasto
0217055;021705_5;02;17;05;Wiązów;5;obszar wiejski
0218;0218;02;18;;średzki;;powiat
0218012;021801_2;02;18;01;Kostomłoty;2;gmina wiejska
0218022;021802_2;02;18;02;Malczyce;2;gmina wiejska
0218033;021803_3;02;18;03;Miękinia;3;gmina miejsko-wiejska
0218034;021803_4;02;18;03;Miękinia;4;miasto
0218035;021803_5;02;18;03;Miękinia;5;obszar wiejski
0218043;021804_3;02;18;04;Środa Śląska;3;gmina miejsko-wiejska
0218044;021804_4;02;18;04;Środa Śląska;4;miasto
0218045;021804_5;02;18;04;Środa Śląska;5;obszar wiejski
0218052;021805_2;02;18;05;Udanin;2;gmina wiejska
0219;0219;02;19;;świdnicki;;powiat
0219011;021901_1;02;19;01;Świdnica;1;gmina miejska
0219021;021902_1;02;19;02;Świebodzice;1;gmina miejska
0219032;021903_2;02;19;03;Dobromierz;2;gmina wiejska
0219043;021904_3;02;19;04;Jaworzyna Śląska;3;gmina miejsko-wiejska
0219044;021904_4;02;19;04;Jaworzyna Śląska;4;miasto
0219045;021904_5;02;19;04;Jaworzyna Śląska;5;obszar wiejski
0219052;021905_2;02;19;05;Marcinowice;2;gmina wiejska
0219063;021906_3;02;19;06;Strzegom;3;gmina miejsko-wiejska
0219064;021906_4;02;19;06;Strzegom;4;miasto
0219065;021906_5;02;19;06;Strzegom;5;obszar wiejski
0219072;021907_2;02;19;07;Świdnica;2;gmina wiejska
0219083;021908_3;02;19;08;Żarów;3;gmina miejsko-wiejska
0219084;021908_4;02;19;08;Żarów;4;miasto
0219085;021908_5;02;19;08;Żarów;5;obszar wiejski
0220;0220;02;20;;trzebnicki;;powiat
0220013;022001_3;02;20;01;Oborniki Śląskie;3;gmina miejsko-wiejska
0220014;022001_4;02;20;01;Oborniki Śląskie;4;miasto
0220015;022001_5;02;20;01;Oborniki Śląskie;5;obszar wiejski
0220023;022002_3;02;20;02;Prusice;3;gmina miejsko-wiejska
0220024;022002_4;02;20;02;Prusice;4;miasto
0220025;022002_5;02;20;02;Prusice;5;obszar wiejski
0220033;022003_3;02;20;03;Trzebnica;3;gmina miejsko-wiejska
0220034;022003_4;02;20;03;Trzebnica;4;miasto
0220035;022003_5;02;20;03;Trzebnica;5;obszar wiejski
0220042;022004_2;02;20;04;Wisznia Mała;2;gmina wiejska
0220052;022005_2;02;20;05;Zawonia;2;gmina wiejska
0220063;022006_3;02;20;06;Żmigród;3;gmina miejsko-wiejska
0220064;022006_4;02;20;06;Żmigród;4;miasto
0220065;022006_5;02;20;06;Żmigród;5;obszar wiejski
0221;0221;02;21;;wałbrzyski;;powiat
0221011;022101_1;02;21;01;Boguszów-Gorce;1;gmina miejska
0221021;022102_1;02;21;02;Jedlina-Zdrój;1;gmina miejska
0221031;022103_1;02;21;03;Szczawno-Zdrój;1;gmina miejska
0221042;022104_2;02;21;04;Czarny Bór;2;gmina wiejska
0221053;022105_3;02;21;05;Głuszyca;3;gmina miejsko-wiejska
0221054;022105_4;02;21;05;Głuszyca;4;miasto
0221055;022105_5;02;21;05;Głuszyca;5;obszar wiejski
0221063;022106_3;02;21;06;Mieroszów;3;gmina miejsko-wiejska
0221064;022106_4;02;21;06;Mieroszów;4;miasto
0221065;022106_5;02;21;06;Mieroszów;5;obszar wiejski
0221072;022107_2;02;21;07;Stare Bogaczowice;2;gmina wiejska
0221082;022108_2;02;21;08;Walim;2;gmina wiejska
0222;0222;02;22;;wołowski;;powiat
0222013;022201_3;02;22;01;Brzeg Dolny;3;gmina miejsko-wiejska
0222014;022201_4;02;22;01;Brzeg Dolny;4;miasto
0222015;022201_5;02;22;01;Brzeg Dolny;5;obszar wiejski
0222022;022202_2;02;22;02;Wińsko;2;gmina wiejska
0222033;022203_3;02;22;03;Wołów;3;gmina miejsko-wiejska
0222034;022203_4;02;22;03;Wołów;4;miasto
0222035;022203_5;02;22;03;Wołów;5;obszar wiejski
0223;0223;02;23;;wrocławski;;powiat
0223012;022301_2;02;23;01;Czernica;2;gmina wiejska
0223022;022302_2;02;23;02;Długołęka;2;gmina wiejska
0223032;022303_2;02;23;03;Jordanów Śląski;2;gmina wiejska
0223043;022304_3;02;23;04;Kąty Wrocławskie;3;gmina miejsko-wiejska
0223044;022304_4;02;23;04;Kąty Wrocławskie;4;miasto
0223045;022304_5;02;23;04;Kąty Wrocławskie;5;obszar wiejski
0223052;022305_2;02;23;05;Kobierzyce;2;gmina wiejska
0223062;022306_2;02;23;06;Mietków;2;gmina wiejska
0223073;022307_3;02;23;07;Sobótka;3;gmina miejsko-wiejska
0223074;022307_4;02;23;07;Sobótka;4;miasto
0223075;022307_5;02;23;07;Sobótka;5;obszar wiejski
0223083;022308_3;02;23;08;Siechnice;3;gmina miejsko-wiejska
0223084;022308_4;02;23;08;Siechnice;4;miasto
0223085;022308_5;02;23;08;Siechnice;5;obszar wiejski
0223092;022309_2;02;23;09;Żórawina;2;gmina wiejska
0224;0224;02;24;;ząbkowicki;;powiat
0224013;022401_3;02;24;01;Bardo;3;gmina miejsko-wiejska
0224014;022401_4;02;24;01;Bardo;4;miasto
0224015;022401_5;02;24;01;Bardo;5;obszar wiejski
0224022;022402_2;02;24;02;Ciepłowody;2;gmina wiejska
0224033;022403_3;02;24;03;Kamieniec Ząbkowicki;3;gmina miejsko-wiejska
0224034;022403_4;02;24;03;Kamieniec Ząbkowicki;4;miasto
0224035;022403_5;02;24;03;Kamieniec Ząbkowicki;5;obszar wiejski
0224042;022404_2;02;24;04;Stoszowice;2;gmina wiejska
0224053;022405_3;02;24;05;Ząbkowice Śląskie;3;gmina miejsko-wiejska
0224054;022405_4;02;24;05;Ząbkowice Śląskie;4;miasto
0224055;022405_5;02;24;05;Ząbkowice Śląskie;5;obszar wiejski
0224063;022406_3;02;24;06;Ziębice;3;gmina miejsko-wiejska
0224064;022406_4;02;24;06;Ziębice;4;miasto
0224065;022406_5;02;24;06;Ziębice;5;obszar wiejski
0224073;022407_3;02;24;07;Złoty Stok;3;gmina miejsko-wiejska
0224074;022407_4;02;24;07;Złoty Stok;4;miasto
0224075;022407_5;02;24;07;Złoty Stok;5;obszar wiejski
0225;0225;02;25;;zgorzelecki;;powiat
0225011;022501_1;02;25;01;Zawidów;1;gmina miejska
0225021;022502_1;02;25;02;Zgorzelec;1;gmina miejska
0225033;022503_3;02;25;03;Bogatynia;3;gmina miejsko-wiejska
0225034;022503_4;02;25;03;Bogatynia;4;miasto
0225035;022503_5;02;25;03;Bogatynia;5;obszar wiejski
0225043;022504_3;02;25;04;Pieńsk;3;gmina miejsko-wiejska
0225044;022504_4;02;25;04;Pieńsk;4;miasto
0225045;022504_5;02;25;04;Pieńsk;5;obszar wiejski
0225052;022505_2;02;25;05;Sulików;2;gmina wiejska
0225063;022506_3;02;25;06;Węgliniec;3;gmina miejsko-wiejska
0225064;022506_4;02;25;06;Węgliniec;4;miasto
0225065;022506_5;02;25;06;Węgliniec;5;obszar wiejski
0225072;022507_2;02;25;07;Zgorzelec;2;gmina wiejska
0226;0226;02;26;;złotoryjski;;powiat
0226011;022601_1;02;26;01;Wojcieszów;1;gmina miejska
0226021;022602_1;02;26;02;Złotoryja;1;gmina miejska
0226032;022603_2;02;26;03;Pielgrzymka;2;gmina wiejska
0226043;022604_3;02;26;04;Świerzawa;3;gmina miejsko-wiejska
0226044;022604_4;02;26;04;Świerzawa;4;miasto
0226045;022604_5;02;26;04;Świerzawa;5;obszar wiejski
0226052;022605_2;02;26;05;Zagrodno;2;gmina wiejska
0226062;022606_2;02;26;06;Złotoryja;2;gmina wiejska
0261;0261;02;61;;Jelenia Góra;;miasto na prawach powiatu
0261011;026101_1;02;61;01;Jelenia Góra;1;gmina miejska
0262;0262;02;62;;Legnica;;miasto na prawach powiatu
0262011;026201_1;02;62;01;Legnica;1;gmina miejska
0264;0264;02;64;;Wrocław;;miasto na prawach powiatu
0264011;026401_1;02;64;01;Wrocław;1;gmina miejska
0264029;026402_9;02;64;02;Wrocław-Fabryczna;9;delegatura
0264039;026403_9;02;64;03;Wrocław-Krzyki;9;delegatura
0264049;026404_9;02;64;04;Wrocław-Psie Pole;9;delegatura
0264059;026405_9;02;64;05;Wrocław-Stare Miasto;9;delegatura
0264069;026406_9;02;64;06;Wrocław-Śródmieście;9;delegatura
0265;0265;02;65;;Wałbrzych;;miasto na prawach powiatu
0265011;026501_1;02;65;01;Wałbrzych;1;gmina miejska
04;04;04;;;KUJAWSKO-POMORSKIE;;województwo
0401;0401;04;01;;aleksandrowski;;powiat
0401011;040101_1;04;01;01;Aleksandrów Kujawski;1;gmina miejska
0401021;040102_1;04;01;02;Ciechocinek;1;gmina miejska
0401031;040103_1;04;01;03;Nieszawa;1;gmina miejska
0401042;040104_2;04;01;04;Aleksandrów Kujawski;2;gmina wiejska
0401052;040105_2;04;01;05;Bądkowo;2;gmina wiejska
0401062;040106_2;04;01;06;Koneck;2;gmina wiejska
0401072;040107_2;04;01;07;Raciążek;2;gmina wiejska
0401082;040108_2;04;01;08;Waganiec;2;gmina wiejska
0401092;040109_2;04;01;09;Zakrzewo;2;gmina wiejska
0402;0402;04;02;;brodnicki;;powiat
0402011;040201_1;04;02;01;Brodnica;1;gmina miejska
0402022;040202_2;04;02;02;Bobrowo;2;gmina wiejska
0402032;040203_2;04;02;03;Brodnica;2;gmina wiejska
0402042;040204_2;04;02;04;Brzozie;2;gmina wiejska
0402053;040205_3;04;02;05;Górzno;3;gmina miejsko-wiejska
0402054;040205_4;04;02;05;Górzno;4;miasto
0402055;040205_5;04;02;05;Górzno;5;obszar wiejski
0402062;040206_2;04;02;06;Bartniczka;2;gmina wiejska
0402073;040207_3;04;02;07;Jabłonowo Pomorskie;3;gmina miejsko-wiejska
0402074;040207_4;04;02;07;Jabłonowo Pomorskie;4;miasto
0402075;040207_5;04;02;07;Jabłonowo Pomorskie;5;obszar wiejski
0402082;040208_2;04;02;08;Osiek;2;gmina wiejska
0402092;040209_2;04;02;09;Świedziebnia;2;gmina wiejska
0402102;040210_2;04;02;10;Zbiczno;2;gmina wiejska
0403;0403;04;03;;bydgoski;;powiat
0403012;040301_2;04;03;01;Białe Błota;2;gmina wiejska
0403022;040302_2;04;03;02;Dąbrowa Chełmińska;2;gmina wiejska
0403032;040303_2;04;03;03;Dobrcz;2;gmina wiejska
0403043;040304_3;04;03;04;Koronowo;3;gmina miejsko-wiejska
0403044;040304_4;04;03;04;Koronowo;4;miasto
0403045;040304_5;04;03;04;Koronowo;5;obszar wiejski
0403052;040305_2;04;03;05;Nowa Wieś Wielka;2;gmina wiejska
0403062;040306_2;04;03;06;Osielsko;2;gmina wiejska
0403072;040307_2;04;03;07;Sicienko;2;gmina wiejska
0403083;040308_3;04;03;08;Solec Kujawski;3;gmina miejsko-wiejska
0403084;040308_4;04;03;08;Solec Kujawski;4;miasto
0403085;040308_5;04;03;08;Solec Kujawski;5;obszar wiejski
0404;0404;04;04;;chełmiński;;powiat
0404011;040401_1;04;04;01;Chełmno;1;gmina miejska
0404022;040402_2;04;04;02;Chełmno;2;gmina wiejska
0404032;040403_2;04;04;03;Kijewo Królewskie;2;gmina wiejska
0404042;040404_2;04;04;04;Lisewo;2;gmina wiejska
0404052;040405_2;04;04;05;Papowo Biskupie;2;gmina wiejska
0404062;040406_2;04;04;06;Stolno;2;gmina wiejska
0404072;040407_2;04;04;07;Unisław;2;gmina wiejska
0405;0405;04;05;;golubsko-dobrzyński;;powiat
0405011;040501_1;04;05;01;Golub-Dobrzyń;1;gmina miejska
0405022;040502_2;04;05;02;Ciechocin;2;gmina wiejska
0405032;040503_2;04;05;03;Golub-Dobrzyń;2;gmina wiejska
0405043;040504_3;04;05;04;Kowalewo Pomorskie;3;gmina miejsko-wiejska
0405044;040504_4;04;05;04;Kowalewo Pomorskie;4;miasto
0405045;040504_5;04;05;04;Kowalewo Pomorskie;5;obszar wiejski
0405052;040505_2;04;05;05;Radomin;2;gmina wiejska
0405062;040506_2;04;05;06;Zbójno;2;gmina wiejska
0406;0406;04;06;;grudziądzki;;powiat
0406012;040601_2;04;06;01;Grudziądz;2;gmina wiejska
0406022;040602_2;04;06;02;Gruta;2;gmina wiejska
0406033;040603_3;04;06;03;Łasin;3;gmina miejsko-wiejska
0406034;040603_4;04;06;03;Łasin;4;miasto
0406035;040603_5;04;06;03;Łasin;5;obszar wiejski
0406043;040604_3;04;06;04;Radzyń Chełmiński;3;gmina miejsko-wiejska
0406044;040604_4;04;06;04;Radzyń Chełmiński;4;miasto
0406045;040604_5;04;06;04;Radzyń Chełmiński;5;obszar wiejski
0406052;040605_2;04;06;05;Rogóźno;2;gmina wiejska
0406062;040606_2;04;06;06;Świecie nad Osą;2;gmina wiejska
0407;0407;04;07;;inowrocławski;;powiat
0407011;040701_1;04;07;01;Inowrocław;1;gmina miejska
0407022;040702_2;04;07;02;Dąbrowa Biskupia;2;gmina wiejska
0407033;040703_3;04;07;03;Gniewkowo;3;gmina miejsko-wiejska
0407034;040703_4;04;07;03;Gniewkowo;4;miasto
0407035;040703_5;04;07;03;Gniewkowo;5;obszar wiejski
0407042;040704_2;04;07;04;Inowrocław;2;gmina wiejska
0407053;040705_3;04;07;05;Janikowo;3;gmina miejsko-wiejska
0407054;040705_4;04;07;05;Janikowo;4;miasto
0407055;040705_5;04;07;05;Janikowo;5;obszar wiejski
0407063;040706_3;04;07;06;Kruszwica;3;gmina miejsko-wiejska
0407064;040706_4;04;07;06;Kruszwica;4;miasto
0407065;040706_5;04;07;06;Kruszwica;5;obszar wiejski
0407073;040707_3;04;07;07;Pakość;3;gmina miejsko-wiejska
0407074;040707_4;04;07;07;Pakość;4;miasto
0407075;040707_5;04;07;07;Pakość;5;obszar wiejski
0407082;040708_2;04;07;08;Rojewo;2;gmina wiejska
0407092;040709_2;04;07;09;Złotniki Kujawskie;2;gmina wiejska
0408;0408;04;08;;lipnowski;;powiat
0408011;040801_1;04;08;01;Lipno;1;gmina miejska
0408023;040802_3;04;08;02;Bobrowniki;3;gmina miejsko-wiejska
0408024;040802_4;04;08;02;Bobrowniki;4;miasto
0408025;040802_5;04;08;02;Bobrowniki;5;obszar wiejski
0408032;040803_2;04;08;03;Chrostkowo;2;gmina wiejska
0408043;040804_3;04;08;04;Dobrzyń nad Wisłą;3;gmina miejsko-wiejska
0408044;040804_4;04;08;04;Dobrzyń nad Wisłą;4;miasto
0408045;040804_5;04;08;04;Dobrzyń nad Wisłą;5;obszar wiejski
0408053;040805_3;04;08;05;Kikół;3;gmina miejsko-wiejska
0408054;040805_4;04;08;05;Kikół;4;miasto
0408055;040805_5;04;08;05;Kikół;5;obszar wiejski
0408062;040806_2;04;08;06;Lipno;2;gmina wiejska
0408073;040807_3;04;08;07;Skępe;3;gmina miejsko-wiejska
0408074;040807_4;04;08;07;Skępe;4;miasto
0408075;040807_5;04;08;07;Skępe;5;obszar wiejski
0408082;040808_2;04;08;08;Tłuchowo;2;gmina wiejska
0408092;040809_2;04;08;09;Wielgie;2;gmina wiejska
0409;0409;04;09;;mogileński;;powiat
0409012;040901_2;04;09;01;Dąbrowa;2;gmina wiejska
0409022;040902_2;04;09;02;Jeziora Wielkie;2;gmina wiejska
0409033;040903_3;04;09;03;Mogilno;3;gmina miejsko-wiejska
0409034;040903_4;04;09;03;Mogilno;4;miasto
0409035;040903_5;04;09;03;Mogilno;5;obszar wiejski
0409043;040904_3;04;09;04;Strzelno;3;gmina miejsko-wiejska
0409044;040904_4;04;09;04;Strzelno;4;miasto
0409045;040904_5;04;09;04;Strzelno;5;obszar wiejski
0410;0410;04;10;;nakielski;;powiat
0410013;041001_3;04;10;01;Kcynia;3;gmina miejsko-wiejska
0410014;041001_4;04;10;01;Kcynia;4;miasto
0410015;041001_5;04;10;01;Kcynia;5;obszar wiejski
0410023;041002_3;04;10;02;Mrocza;3;gmina miejsko-wiejska
0410024;041002_4;04;10;02;Mrocza;4;miasto
0410025;041002_5;04;10;02;Mrocza;5;obszar wiejski
